title,genres,budget,language,duration,year,vote_count,score
The Last Waltz,0,0,## INCONSISTENCY ## ,117,1978,64,7.9
The Assassin,0,15000000,Mandarin,105,2015,9427,6.4
The American,0,20000000,English,105,2010,79461,6.3
The Others,0,17000000,English,101,2001,268581,7.6
The East,0,6500000,## INCONSISTENCY ## ,116,2013,305,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Heli,0,1000000,## INCONSISTENCY ## ,105,2013,32,6.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Radio,0,35000000,English,109,2003,32370,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
City of God,0,3300000,## INCONSISTENCY ## ,130,2002,1814,8.1
The Family Stone,1,17000000,English,103,2005,49077,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Men with Brooms,1,7500000,## INCONSISTENCY ## ,102,2002,7,4.5
Teacher's Pet,0,10000000,## INCONSISTENCY ## ,74,2004,2,5.5
Night Watch,0,4200000,## INCONSISTENCY ## ,114,2004,210,6.3
The Transporter,0,21000000,English,92,2002,237248,6.8
Inside Deep Throat,0,2000000,## INCONSISTENCY ## ,92,2005,31,6.8
The Last Big Thing,1,0,## INCONSISTENCY ## ,98,1998,3,6.0
Beverly Hills Cop II,1,28000000,English,100,1987,84824,6.4
Chappie,0,49000000,English,120,2015,172965,6.9
Motherhood,1,5000000,English,90,2009,3662,4.7
Super Hybrid,0,13000000,## INCONSISTENCY ## ,95,2010,24,4.6
The Saint,0,68000000,English,116,1997,52136,6.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Babe,1,30000000,## INCONSISTENCY ## ,89,1995,733,6.0
The Molly Maguires,0,11000000,English,124,1970,2603,6.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Lawnmower Man,0,10000000,English,140,1992,27800,5.4
"I, Frankenstein",0,65000000,## INCONSISTENCY ## ,92,2014,687,5.0
Battlefield Earth,0,44000000,English,119,2000,65464,2.4
Ca$h,1,7000000,## INCONSISTENCY ## ,108,2010,73,6.0
Conspiracy Theory,0,75000000,## INCONSISTENCY ## ,135,1997,431,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Scott Pilgrim vs. the World,1,60000000,English,112,2010,273921,7.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Bring It On,1,28000000,## INCONSISTENCY ## ,98,2000,568,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Edge of Darkness,0,80000000,English,117,2010,75201,6.6
Bogus,1,32000000,## INCONSISTENCY ## ,110,1996,44,5.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
DragonHeart,0,57000000,English,103,1996,78343,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
They Will Have to Kill Us First,0,400000,French,105,2015,74,7.7
Neal 'N' Nikki,1,1500000,English,97,2005,1167,3.3
The Devil's Own,0,86000000,English,111,1997,45602,6.1
Deterrence,0,800000,English,104,1999,2256,6.5
Diary of a Wimpy Kid,1,15000000,English,94,2010,32002,6.2
Noah,0,125000000,English,138,2014,200022,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Mozart's Sister,0,0,## INCONSISTENCY ## ,120,2010,13,6.2
The Hebrew Hammer,1,1000000,English,87,2003,4182,6.2
There Goes My Baby,1,10500000,English,99,1994,859,6.4
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Bamboozled,1,0,## INCONSISTENCY ## ,135,2000,24,6.3
Young Frankenstein,1,2800000,English,106,1974,112671,8.0
Whale Rider,0,6000000,English,101,2002,34232,7.6
Twilight,0,37000000,English,122,2008,348007,5.2
The Peacemaker,0,50000000,## INCONSISTENCY ## ,124,1997,255,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Switch,1,19000000,## INCONSISTENCY ## ,101,2010,583,5.9
Rock Star,1,57000000,## INCONSISTENCY ## ,105,2001,190,6.0
The Adventures of Elmo in Grouchland,1,17000000,English,73,1999,2045,5.8
The Sleepwalker,0,0,## INCONSISTENCY ## ,92,2014,7,4.1
Troy,0,175000000,## INCONSISTENCY ## ,163,2004,2759,6.9
Land of the Lost,1,100000000,## INCONSISTENCY ## ,102,2009,381,5.3
Batman Returns,0,80000000,English,126,1992,215255,7.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
She Done Him Wrong,1,200000,English,66,1933,4152,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Major Dundee,0,3800000,## INCONSISTENCY ## ,123,1965,38,6.2
The Contender,0,9000000,## INCONSISTENCY ## ,126,2000,60,6.7
Luminarias,1,1000000,English,100,2000,505,3.6
"The Good, The Bad, The Weird",1,10000000,## INCONSISTENCY ## ,130,2008,193,7.1
Stand by Me,0,8000000,## INCONSISTENCY ## ,89,1986,1522,7.8
Brüno,1,42000000,## INCONSISTENCY ## ,83,2009,518,5.4
Sucker Punch,0,82000000,## INCONSISTENCY ## ,110,2011,1623,5.9
Volver,1,12899867,## INCONSISTENCY ## ,121,2006,406,7.3
The Longest Day,0,10000000,## INCONSISTENCY ## ,178,1962,234,7.2
Wicked Blood,0,3500000,## INCONSISTENCY ## ,92,2014,37,5.3
Blue Streak,1,65000000,English,93,1999,60572,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
2001: A Space Odyssey,0,10500000,## INCONSISTENCY ## ,149,1968,2998,7.9
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Flywheel,0,0,## INCONSISTENCY ## ,120,2003,19,6.8
The Descendants,1,20000000,English,115,2011,205284,7.3
A Beginner's Guide to Snuff,1,0,## INCONSISTENCY ## ,87,2016,0,0.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Child's Play,0,9000000,## INCONSISTENCY ## ,87,1988,581,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Smurfs 2,1,105000000,## INCONSISTENCY ## ,105,2013,695,5.5
Harper,0,3500000,## INCONSISTENCY ## ,121,1966,35,6.2
Creed,0,35000000,English,133,2015,146708,7.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Imitation Game,0,14000000,English,114,2014,467613,8.1
Better Luck Tomorrow,0,250000,English,98,2002,8000,7.2
Latter Days,1,850000,English,107,2003,14580,7.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Alien: Resurrection,0,75000000,English,116,1997,170179,6.3
Ta Ra Rum Pum,1,0,## INCONSISTENCY ## ,156,2007,13,6.0
End of Watch,0,7000000,## INCONSISTENCY ## ,109,2012,1170,7.2
The Bodyguard,0,25000000,## INCONSISTENCY ## ,129,1992,661,6.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
O,0,5000000,English,95,2001,17333,6.2
Piranha 3D,1,24000000,English,88,2010,72552,5.5
Mad Max Beyond Thunderdome,0,12305523,## INCONSISTENCY ## ,107,1985,748,5.9
The Beach,0,50000000,English,119,2000,176169,6.6
My Big Fat Independent Movie,1,3000000,English,80,2005,1257,3.3
G-Force,1,150000000,English,88,2009,33042,5.1
Mad City,0,50000000,## INCONSISTENCY ## ,114,1997,81,5.9
The Boxtrolls,1,60000000,English,96,2014,40883,6.8
My Own Private Idaho,0,2500000,English,104,1991,36996,7.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Taxi to the Dark Side,0,1000000,English,53,2007,10564,7.7
Reds,0,35000000,English,195,1981,16255,7.5
Jack Brooks: Monster Slayer,1,0,## INCONSISTENCY ## ,85,2007,59,5.7
No Good Deed,0,13200000,## INCONSISTENCY ## ,83,2014,181,5.6
King Kong,0,207000000,## INCONSISTENCY ## ,187,2005,2337,6.6
Charlotte's Web,1,85000000,## INCONSISTENCY ## ,97,2006,288,5.8
The Work and the Glory,0,7500000,English,118,2004,833,6.9
Elysium,0,115000000,## INCONSISTENCY ## ,109,2013,3439,6.4
Good Boy!,1,17000000,English,87,2003,3407,5.1
Dwegons,0,0,## INCONSISTENCY ## ,98,2014,1,0.5
The Perez Family,1,11000000,## INCONSISTENCY ## ,113,1995,9,6.6
House of Wax,0,40000000,## INCONSISTENCY ## ,113,2005,677,5.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Steel,0,16000000,## INCONSISTENCY ## ,97,1997,48,4.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Vera Drake,0,11000000,## INCONSISTENCY ## ,125,2004,80,6.8
Wall Street: Money Never Sleeps,0,70000000,## INCONSISTENCY ## ,133,2010,493,5.8
I Hope They Serve Beer in Hell,1,7000000,## INCONSISTENCY ## ,106,2009,20,5.7
21 Jump Street,1,42000000,## INCONSISTENCY ## ,109,2012,4074,6.7
Spy Kids,1,35000000,## INCONSISTENCY ## ,88,2001,867,5.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Trapeze,0,4000000,English,105,1956,3102,6.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Secret Life of Pets,1,75000000,English,87,2016,24407,6.8
Domestic Disturbance,0,75000000,## INCONSISTENCY ## ,89,2001,113,5.4
I Am Sam,0,22000000,English,132,2001,121937,7.6
Menace II Society,0,3500000,English,97,1993,39508,7.5
Rush,0,38000000,## INCONSISTENCY ## ,123,2013,2277,7.7
Kingpin,1,27000000,## INCONSISTENCY ## ,113,1996,244,6.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Forest,0,10000000,English,93,2016,20837,4.8
House at the End of the Drive,0,1400000,English,91,2014,330,6.9
Black Nativity,0,17500000,English,93,2013,1633,4.4
House of D,1,6000000,English,96,2004,7479,7.0
Fled,0,25000000,English,105,1996,7073,5.3
Touching the Void,0,0,## INCONSISTENCY ## ,106,2003,138,7.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## INCONSISTENCY ## ,1,30000000,## INCONSISTENCY ## ,83,1994,521,6.3
Y Tu Mamá También,1,2000000,Spanish,106,2001,91377,7.7
All the King's Men,0,55000000,English,128,2006,20740,6.2
Crazy Heart,0,7000000,English,112,2009,67760,7.3
Beastmaster 2: Through the Portal of Time,0,6000000,English,107,1991,2281,3.8
All the Pretty Horses,0,57000000,## INCONSISTENCY ## ,117,2000,60,5.8
Sugar Town,1,0,## INCONSISTENCY ## ,92,1999,2,5.5
Ulee's Gold,0,2700000,English,113,1997,5744,7.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Unnatural,0,3000000,English,89,2015,859,4.0
Baby's Day Out,1,50000000,## INCONSISTENCY ## ,99,1994,274,5.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
"Happy, Texas",1,1700000,English,98,1999,8697,6.3
Hesher,0,7000000,## INCONSISTENCY ## ,106,2010,212,6.7
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Joy,1,60000000,English,124,2015,75329,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Pretty Woman,1,14000000,## INCONSISTENCY ## ,119,1990,1746,7.0
My Big Fat Greek Wedding,1,5000000,## INCONSISTENCY ## ,95,2002,671,6.2
Poseidon,0,160000000,English,98,2006,82380,5.6
W.,0,25100000,English,129,2008,40941,6.4
Jeepers Creepers,0,10000000,English,90,2001,86890,6.1
Driven,0,72000000,English,116,2001,34435,4.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Special,1,1000000,English,81,2006,4862,6.9
Scott Walker: 30 Century Man,0,500000,English,95,2006,1006,7.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Fortress,0,8000000,English,95,1992,23383,5.9
Hanging Up,1,40000000,## INCONSISTENCY ## ,94,2000,40,5.0
Compliance,0,0,## INCONSISTENCY ## ,90,2012,221,6.3
The Young Victoria,0,35000000,English,100,2009,44931,7.3
A Home at the End of the World,0,6500000,## INCONSISTENCY ## ,96,2004,45,6.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
[Rec] 2,0,5600000,Spanish,85,2009,55597,6.6
Chain Reaction,0,50000000,## INCONSISTENCY ## ,107,1996,284,5.3
The Holiday,1,85000000,## INCONSISTENCY ## ,136,2006,1225,6.7
Windtalkers,0,115000000,## INCONSISTENCY ## ,134,2002,341,5.8
Flushed Away,1,149000000,English,85,2006,85086,6.7
Mean Machine,1,0,## INCONSISTENCY ## ,99,2001,157,6.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Idlewild,0,15000000,English,121,2006,4603,6.2
Brooklyn,0,11000000,English,111,2015,73249,7.5
Wild Things,0,20000000,## INCONSISTENCY ## ,108,1998,444,6.3
Atlantis: The Lost Empire,0,120000000,English,95,2001,72591,6.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Being John Malkovich,1,13000000,English,112,1999,254404,7.8
Elling,1,0,## INCONSISTENCY ## ,89,2001,51,7.0
Raise Your Voice,0,15000000,English,103,2004,22649,5.9
The Replacement Killers,0,30000000,English,96,1998,23345,6.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Little Vampire,0,22000000,## INCONSISTENCY ## ,95,2000,77,6.1
The Lord of the Rings: The Fellowship of the Ring,0,93000000,## INCONSISTENCY ## ,178,2001,8705,8.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
A Plague So Pleasant,0,1400,English,76,2013,38,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The To Do List,1,1500000,English,104,2013,29517,5.8
New Year's Eve,1,56000000,English,113,2011,66579,5.7
The House of the Devil,0,900000,English,95,2009,30160,6.4
Crooklyn,1,0,## INCONSISTENCY ## ,115,1994,31,6.7
The Chambermaid on the Titanic,0,0,## INCONSISTENCY ## ,100,1997,3,5.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Breaking Upwards,1,0,## INCONSISTENCY ## ,88,2009,12,5.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Roar,0,17000000,English,102,1981,1275,6.4
Where the Truth Lies,0,25000000,English,107,2005,14982,6.5
Honey,0,18000000,## INCONSISTENCY ## ,94,2003,303,6.0
Because of Winn-Dixie,1,14000000,## INCONSISTENCY ## ,106,2005,61,6.1
The Scorpion King,0,60000000,English,100,2002,102129,5.5
Road House,0,17000000,English,114,1989,42987,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Armageddon,0,140000000,English,153,1998,322395,6.6
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Valentine's Day,1,52000000,English,125,2010,95437,5.7
Ghost Rider,0,110000000,## INCONSISTENCY ## ,114,2007,1712,5.2
Next Day Air,1,3000000,English,84,2009,8265,5.9
Scooby-Doo,1,84000000,## INCONSISTENCY ## ,88,2002,820,5.4
Time Changer,1,0,## INCONSISTENCY ## ,95,2002,9,5.2
Hard to Be a God,0,7000000,## INCONSISTENCY ## ,170,2013,41,6.7
Scary Movie 4,1,45000000,## INCONSISTENCY ## ,83,2006,750,5.3
The Day the Earth Stood Still,0,80000000,English,104,2008,139423,5.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
White Oleander,0,16000000,English,109,2002,25549,7.2
Burn After Reading,1,37000000,## INCONSISTENCY ## ,96,2008,1222,6.5
Sleepers,0,44000000,## INCONSISTENCY ## ,147,1996,715,7.3
Phat Girlz,1,3000000,English,99,2006,8279,3.0
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Color Purple,0,15000000,## INCONSISTENCY ## ,154,1985,338,7.7
Confidence,1,0,## INCONSISTENCY ## ,97,2003,126,6.4
Obvious Child,1,0,## INCONSISTENCY ## ,83,2014,187,6.7
Sicko,0,9000000,## INCONSISTENCY ## ,123,2007,235,7.3
Aliens vs. Predator: Requiem,0,40000000,English,102,2007,92789,4.7
A Very Harold & Kumar 3D Christmas,1,19000000,English,90,2011,55008,6.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Misfits,0,4000000,English,120,1961,12981,7.4
Hot Pursuit,1,35000000,## INCONSISTENCY ## ,87,2015,647,5.4
Malevolence,0,200000,English,90,2003,2413,5.1
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Session 9,0,1500000,## INCONSISTENCY ## ,100,2001,251,6.2
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Knife of Don Juan,1,1200000,Spanish,110,2013,27,7.2
From Here to Eternity,0,1650000,English,118,1953,33987,7.8
Eight Legged Freaks,1,30000000,English,99,2002,43764,5.4
Conan the Destroyer,0,18000000,## INCONSISTENCY ## ,103,1984,383,5.8
Happily N'Ever After,1,47000000,English,75,2006,8693,4.5
Machine Gun McCain,0,0,## INCONSISTENCY ## ,116,1969,6,7.3
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Hansel and Gretel Get Baked,1,4500000,## INCONSISTENCY ## ,86,2013,67,4.8
Inchon,0,48000000,English,140,1981,491,2.7
Who's Your Caddy?,1,0,## INCONSISTENCY ## ,93,2007,18,3.8
Inherent Vice,1,20000000,## INCONSISTENCY ## ,148,2014,833,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
The Perfect Match,1,5000000,English,96,2016,1180,4.5
The Addams Family,1,38000000,English,99,1991,96607,6.8
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Secret in Their Eyes,0,19500000,English,111,2015,20186,6.2
Eraserhead,0,10000,## INCONSISTENCY ## ,89,1977,485,7.5
In & Out,1,35000000,## INCONSISTENCY ## ,90,1997,177,6.3
In Her Line of Fire,0,0,## INCONSISTENCY ## ,88,2006,9,3.3
The Sea Inside,0,12806000,## INCONSISTENCY ## ,125,2004,219,7.2
Town & Country,1,90000000,English,104,2001,4102,4.4
The Relic,0,40000000,English,110,1997,19176,5.7
The Last Legion,0,67000000,## INCONSISTENCY ## ,102,2007,207,5.0
Sunshine Cleaning,1,5000000,## INCONSISTENCY ## ,102,2008,255,6.5
## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## INCONSISTENCY ## ,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##,## DUPLICATE ##
Stolen,0,35000000,English,96,2012,36914,5.5
Premium Rush,0,35000000,## INCONSISTENCY ## ,91,2012,832,6.2
Brown Sugar,1,8000000,English,109,2002,5971,6.5
Best in Show,1,0,## INCONSISTENCY ## ,90,2000,166,6.7
