Income,Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person under 18,Householder,Hometype,Ethnic,Language
1,male,single or never married,45 thru 54,graduated high school,clerical/service worker,more than ten years,not married,one,none,own,house,white,english
0,male,single or never married,25 thru 34,1 to 3 years of college,student or hs or college,more than ten years,not married,two,none,live with parents/family,house,white,english
0,female,single or never married,18 thru 24,grad study,clerical/service worker,more than ten years,not married,two,none,rent,apartment,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,rent,apartment,white,english
0,female,single or never married,25 thru 34,graduated high school,clerical/service worker,more than ten years,not married,three,none,rent,house,white,english
0,female,living together or not married,18 thru 24,college graduate,student or hs or college,more than ten years,not married,four,one,own,house,white,english
0,male,living together or not married,18 thru 24,college graduate,student or hs or college,more than ten years,yes,four,one,rent,house,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,seven,two,live with parents/family,house,asian,english
0,male,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,four,none,rent,house,white,english
1,female,single or never married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,apartment,white,english
1,male,single or never married,35 thru 44,graduated high school,sales worker,more than ten years,not married,two,none,rent,condominium,white,english
0,female,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,one,none,rent,apartment,white,english
1,male,single or never married,18 thru 24,graduated high school,professional/managerial,more than ten years,not married,three,none,rent,other,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,sales worker,seven to ten years,not married,five,one,live with parents/family,house,white,english
1,male,single or never married,35 thru 44,college graduate,clerical/service worker,more than ten years,not married,one,none,rent,house,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,three,none,live with parents/family,house,white,english
0,female,married,25 thru 34,1 to 3 years of college,sales worker,more than ten years,yes,two,none,rent,apartment,white,english
1,female,single or never married,18 thru 24,grad study,professional/managerial,seven to ten years,not married,one,none,own,condominium,white,english
1,female,single or never married,35 thru 44,grad study,professional/managerial,more than ten years,not married,one,none,rent,apartment,white,english
0,female,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,five,one,live with parents/family,house,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english
1,male,married,25 thru 34,1 to 3 years of college,sales worker,more than ten years,yes,four,two,rent,apartment,white,english
1,male,single or never married,25 thru 34,1 to 3 years of college,student or hs or college,more than ten years,not married,two,none,live with parents/family,house,white,english
1,male,widowed,45 thru 54,grad study,professional/managerial,more than ten years,not married,one,none,own,house,white,english
1,male,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,one,none,rent,house,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,one,none,rent,apartment,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,condominium,white,english
0,female,married,18 thru 24,1 to 3 years of college,clerical/service worker,more than ten years,yes,two,none,rent,apartment,white,english
1,female,married,55 thru 64,graduated high school,homemaker,more than ten years,no,two,none,own,house,white,english
1,female,married,55 thru 64,college graduate,professional/managerial,more than ten years,no,two,none,own,house,white,english
0,female,married,55 thru 64,1 to 3 years of college,retired,seven to ten years,no,two,none,own,house,white,english
0,female,widowed,65 and over,graduated high school,retired,more than ten years,not married,one,none,own,house,white,english
1,male,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,student or hs or college,four to six years,not married,three,one,live with parents/family,house,asian,other
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,five,three,live with parents/family,apartment,asian,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english
1,male,married,55 thru 64,college graduate,professional/managerial,more than ten years,no,two,none,own,house,white,english
1,female,divorced or separated,55 thru 64,1 to 3 years of college,clerical/service worker,seven to ten years,not married,three,none,own,house,white,english
1,female,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,five,none,own,house,white,english
1,male,married,65 and over,grad study,professional/managerial,four to six years,yes,two,none,own,house,white,english
0,male,single or never married,14 thru 17,grades 9 to 11,factory worker/laborer/driver,more than ten years,not married,five,one,live with parents/family,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,sales worker,seven to ten years,not married,three,two,live with parents/family,apartment,white,english
1,female,single or never married,14 thru 17,grades 9 to 11,sales worker,more than ten years,not married,five,three,live with parents/family,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,sales worker,more than ten years,not married,four,two,live with parents/family,house,white,english
0,female,single or never married,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,white,english
0,female,single or never married,25 thru 34,graduated high school,unemployed,more than ten years,not married,one,one,own,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,three,one,own,house,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,clerical/service worker,more than ten years,not married,five,one,live with parents/family,house,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english
0,male,single or never married,18 thru 24,college graduate,unemployed,seven to ten years,not married,one,none,rent,other,white,english
1,female,single or never married,25 thru 34,grad study,professional/managerial,more than ten years,not married,one,none,own,condominium,white,english
1,male,married,25 thru 34,college graduate,sales worker,one to three years,yes,two,none,rent,apartment,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,unemployed,one to three years,not married,six,none,rent,house,hispanic,english
0,female,divorced or separated,35 thru 44,1 to 3 years of college,unemployed,more than ten years,not married,three,one,live with parents/family,house,white,english
1,female,married,25 thru 34,graduated high school,professional/managerial,more than ten years,no,three,one,own,house,white,english
1,female,married,65 and over,grades 9 to 11,retired,more than ten years,yes,two,none,own,house,white,english
0,female,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,three,none,live with parents/family,condominium,white,english
1,male,married,25 thru 34,1 to 3 years of college,professional/managerial,four to six years,no,three,one,rent,apartment,white,english
1,male,single or never married,25 thru 34,college graduate,professional/managerial,seven to ten years,not married,one,none,rent,apartment,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,clerical/service worker,more than ten years,not married,five,three,live with parents/family,house,white,english
0,female,single or never married,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,not married,three,none,rent,apartment,white,english
1,male,single or never married,18 thru 24,grad study,professional/managerial,less than one year,not married,two,none,rent,apartment,white,english
0,male,single or never married,25 thru 34,1 to 3 years of college,sales worker,more than ten years,not married,three,none,live with parents/family,house,white,english
1,female,single or never married,35 thru 44,college graduate,professional/managerial,more than ten years,not married,four,one,live with parents/family,house,white,english
1,female,married,18 thru 24,graduated high school,clerical/service worker,seven to ten years,yes,two,none,rent,condominium,white,english
0,male,divorced or separated,45 thru 54,1 to 3 years of college,sales worker,four to six years,not married,two,none,live with parents/family,apartment,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,three,one,rent,house,white,english
1,female,married,35 thru 44,college graduate,homemaker,more than ten years,yes,six,two,own,house,white,english
1,female,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,three,none,live with parents/family,house,white,english
1,female,married,45 thru 54,graduated high school,student or hs or college,more than ten years,yes,four,two,own,house,hispanic,english
0,female,divorced or separated,35 thru 44,college graduate,professional/managerial,more than ten years,not married,four,two,own,house,white,english
1,female,married,35 thru 44,grad study,professional/managerial,four to six years,yes,two,none,own,condominium,white,english
0,male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,rent,house,white,english
1,female,single or never married,35 thru 44,grad study,professional/managerial,more than ten years,not married,one,none,own,house,white,english
1,female,married,35 thru 44,college graduate,sales worker,more than ten years,yes,four,two,own,house,white,english
1,female,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,sales worker,more than ten years,yes,two,none,own,house,white,english
1,male,married,25 thru 34,college graduate,professional/managerial,more than ten years,yes,two,none,rent,apartment,white,english
1,female,married,55 thru 64,1 to 3 years of college,sales worker,more than ten years,no,three,none,own,house,white,english
1,male,living together or not married,18 thru 24,grad study,homemaker,seven to ten years,no,three,one,own,house,asian,english
1,male,married,35 thru 44,grad study,professional/managerial,one to three years,yes,two,none,own,house,white,english
1,female,married,45 thru 54,grad study,professional/managerial,one to three years,yes,two,none,own,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,yes,two,none,own,house,white,english
1,male,married,25 thru 34,college graduate,factory worker/laborer/driver,one to three years,yes,two,none,rent,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,male,married,25 thru 34,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,female,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english
1,female,married,35 thru 44,college graduate,professional/managerial,more than ten years,yes,six,four,own,house,white,english
1,male,married,55 thru 64,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,male,married,55 thru 64,grad study,professional/managerial,more than ten years,no,two,none,own,house,white,english
1,female,married,35 thru 44,college graduate,professional/managerial,seven to ten years,yes,four,none,own,house,white,english
1,male,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english
1,female,married,55 thru 64,grad study,sales worker,more than ten years,no,three,none,own,house,white,english
1,male,married,25 thru 34,college graduate,professional/managerial,four to six years,no,three,one,own,house,white,english
0,male,single or never married,25 thru 34,college graduate,retired,more than ten years,not married,one,none,rent,apartment,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,six,none,live with parents/family,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,four,none,rent,house,black,english
0,female,divorced or separated,25 thru 34,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english
1,male,married,25 thru 34,college graduate,professional/managerial,four to six years,no,four,two,rent,apartment,asian,english
1,male,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,rent,apartment,white,english
0,male,single or never married,25 thru 34,graduated high school,unemployed,more than ten years,not married,one,none,rent,apartment,white,english
0,male,living together or not married,18 thru 24,grades 9 to 11,sales worker,more than ten years,not married,five,none,rent,mobile home,white,english
1,male,single or never married,25 thru 34,grad study,professional/managerial,four to six years,not married,one,none,rent,apartment,asian,english
0,male,living together or not married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,three,none,rent,other,white,english
1,female,married,25 thru 34,college graduate,homemaker,four to six years,no,three,one,own,house,white,english
1,female,married,25 thru 34,graduated high school,clerical/service worker,one to three years,yes,two,none,rent,apartment,white,english
0,female,divorced or separated,45 thru 54,1 to 3 years of college,unemployed,more than ten years,not married,three,none,live with parents/family,house,white,english
1,female,single or never married,25 thru 34,grad study,professional/managerial,four to six years,not married,one,none,rent,apartment,white,english
1,female,single or never married,45 thru 54,1 to 3 years of college,clerical/service worker,more than ten years,not married,three,none,rent,house,white,english
0,female,living together or not married,18 thru 24,college graduate,professional/managerial,one to three years,yes,two,none,rent,other,white,english
0,female,divorced or separated,35 thru 44,graduated high school,professional/managerial,more than ten years,not married,two,one,rent,other,white,english
0,male,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,two,none,rent,apartment,white,english
1,female,married,55 thru 64,college graduate,clerical/service worker,more than ten years,yes,three,none,own,house,white,english
1,female,living together or not married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,two,none,own,condominium,white,english
1,female,married,25 thru 34,grad study,professional/managerial,seven to ten years,yes,two,none,own,house,white,english
1,male,married,55 thru 64,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,male,living together or not married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,condominium,white,english
1,male,married,25 thru 34,grad study,professional/managerial,seven to ten years,yes,three,one,own,house,white,english
1,female,married,35 thru 44,college graduate,professional/managerial,four to six years,yes,two,none,own,house,white,english
1,male,married,35 thru 44,1 to 3 years of college,sales worker,more than ten years,yes,three,one,own,house,white,english
1,female,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
1,male,married,45 thru 54,grad study,professional/managerial,seven to ten years,yes,three,one,rent,house,white,english
1,male,married,35 thru 44,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,white,english
1,male,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,no,three,one,own,house,white,english
1,male,married,45 thru 54,1 to 3 years of college,professional/managerial,one to three years,yes,three,none,rent,condominium,white,english
1,male,single or never married,35 thru 44,grad study,professional/managerial,one to three years,not married,one,none,own,condominium,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,four,none,live with parents/family,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,five,none,live with parents/family,house,white,english
1,female,married,45 thru 54,graduated high school,factory worker/laborer/driver,more than ten years,yes,three,one,own,house,white,english
1,female,married,45 thru 54,graduated high school,clerical/service worker,one to three years,yes,three,none,rent,condominium,white,english
1,female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,four,two,rent,condominium,white,english
1,female,married,35 thru 44,grad study,professional/managerial,four to six years,yes,two,none,own,condominium,white,english
1,male,married,55 thru 64,grad study,retired,more than ten years,no,two,none,own,house,white,english
1,male,married,55 thru 64,college graduate,professional/managerial,seven to ten years,no,two,none,own,house,white,english
1,male,married,55 thru 64,grad study,professional/managerial,one to three years,yes,two,none,own,condominium,white,english
1,female,married,55 thru 64,college graduate,clerical/service worker,one to three years,yes,two,none,own,condominium,white,english
1,male,married,18 thru 24,college graduate,professional/managerial,one to three years,yes,three,one,rent,house,white,english
1,female,living together or not married,18 thru 24,graduated high school,factory worker/laborer/driver,more than ten years,yes,two,none,rent,other,white,english
1,female,married,25 thru 34,college graduate,professional/managerial,more than ten years,yes,three,one,own,house,white,english
1,female,divorced or separated,35 thru 44,grad study,military,more than ten years,not married,one,none,own,condominium,white,english
1,female,single or never married,18 thru 24,graduated high school,sales worker,four to six years,not married,five,two,live with parents/family,house,white,english
0,male,single or never married,18 thru 24,graduated high school,sales worker,more than ten years,not married,four,one,live with parents/family,house,white,english
1,male,living together or not married,18 thru 24,graduated high school,factory worker/laborer/driver,more than ten years,yes,two,none,rent,condominium,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,three,none,rent,house,white,english
1,male,married,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,more than ten years,no,three,one,own,other,white,english
1,male,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english
1,male,single or never married,18 thru 24,college graduate,professional/managerial,one to three years,not married,two,none,rent,apartment,white,english
1,male,living together or not married,35 thru 44,1 to 3 years of college,professional/managerial,one to three years,not married,two,none,rent,apartment,white,english
1,male,married,25 thru 34,graduated high school,professional/managerial,more than ten years,no,three,one,rent,condominium,white,english
0,female,single or never married,18 thru 24,graduated high school,sales worker,more than ten years,not married,three,none,live with parents/family,house,white,english
0,female,divorced or separated,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,own,condominium,white,english
0,female,single or never married,18 thru 24,college graduate,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,three,one,rent,house,white,english
1,female,divorced or separated,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,not married,two,one,own,condominium,white,english
1,female,living together or not married,25 thru 34,graduated high school,sales worker,one to three years,not married,two,none,rent,apartment,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,four,none,live with parents/family,house,white,english
1,female,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,two,none,own,house,white,english
1,female,single or never married,18 thru 24,graduated high school,student or hs or college,more than ten years,not married,four,none,live with parents/family,house,white,english
0,female,living together or not married,18 thru 24,graduated high school,professional/managerial,more than ten years,not married,two,none,rent,condominium,white,english
0,female,living together or not married,18 thru 24,1 to 3 years of college,clerical/service worker,more than ten years,yes,three,none,rent,apartment,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,three,one,rent,house,white,english
1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,four,two,own,house,white,english
1,female,single or never married,25 thru 34,graduated high school,sales worker,more than ten years,not married,three,none,rent,condominium,white,english
1,female,divorced or separated,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,not married,three,two,rent,apartment,white,english
1,female,married,55 thru 64,grad study,professional/managerial,more than ten years,no,two,none,own,house,white,english
0,female,married,65 and over,graduated high school,homemaker,more than ten years,no,two,none,own,house,white,english
1,female,married,65 and over,1 to 3 years of college,retired,more than ten years,no,five,none,own,house,white,english
0,female,single or never married,55 thru 64,grad study,retired,more than ten years,not married,one,none,rent,apartment,white,english
0,female,divorced or separated,55 thru 64,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,own,condominium,white,english
0,female,widowed,65 and over,graduated high school,clerical/service worker,more than ten years,not married,two,none,rent,apartment,white,english
1,male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,rent,apartment,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,two,none,rent,apartment,white,english
0,male,divorced or separated,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,one,none,live with parents/family,house,white,english
0,female,divorced or separated,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,two,one,rent,apartment,white,english
0,female,single or never married,25 thru 34,college graduate,professional/managerial,seven to ten years,not married,one,none,rent,apartment,white,english
0,female,divorced or separated,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,not married,one,none,rent,apartment,white,english
0,female,single or never married,35 thru 44,grad study,student or hs or college,more than ten years,not married,two,none,rent,house,white,english
1,female,divorced or separated,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,live with parents/family,house,white,english
1,male,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,own,condominium,white,english
1,male,single or never married,25 thru 34,1 to 3 years of college,sales worker,seven to ten years,not married,one,none,rent,apartment,white,english
1,female,single or never married,18 thru 24,college graduate,professional/managerial,more than ten years,not married,one,none,rent,apartment,white,english
1,male,single or never married,25 thru 34,college graduate,professional/managerial,one to three years,not married,eight,two,live with parents/family,house,white,english
0,female,living together or not married,25 thru 34,graduated high school,clerical/service worker,four to six years,yes,two,none,rent,apartment,white,english
1,female,single or never married,25 thru 34,1 to 3 years of college,professional/managerial,seven to ten years,not married,two,none,rent,other,white,english
0,female,single or never married,25 thru 34,1 to 3 years of college,homemaker,one to three years,not married,three,one,live with parents/family,house,white,english
1,female,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,four to six years,not married,one,one,rent,apartment,white,english
1,female,single or never married,18 thru 24,graduated high school,professional/managerial,seven to ten years,not married,two,none,live with parents/family,house,white,english
0,female,married,65 and over,graduated high school,retired,more than ten years,no,two,none,own,house,white,english
1,male,divorced or separated,55 thru 64,college graduate,professional/managerial,more than ten years,not married,three,none,rent,other,white,english
0,male,widowed,55 thru 64,graduated high school,retired,more than ten years,not married,three,none,own,house,white,english
1,female,single or never married,55 thru 64,graduated high school,clerical/service worker,more than ten years,not married,one,none,rent,apartment,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,three,none,live with parents/family,house,white,english
1,male,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,female,living together or not married,25 thru 34,college graduate,clerical/service worker,four to six years,not married,two,none,rent,apartment,white,english
0,female,widowed,45 thru 54,graduated high school,clerical/service worker,more than ten years,not married,two,one,own,house,white,english
1,female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,three,none,rent,house,white,english
1,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
0,female,single or never married,18 thru 24,graduated high school,clerical/service worker,more than ten years,not married,one,none,rent,apartment,white,english
1,male,married,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,more than ten years,yes,two,none,own,house,white,english
1,female,single or never married,25 thru 34,college graduate,professional/managerial,four to six years,not married,four,none,own,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,factory worker/laborer/driver,seven to ten years,yes,two,none,own,house,white,english
1,female,divorced or separated,35 thru 44,college graduate,professional/managerial,more than ten years,not married,four,one,own,house,hispanic,english
1,female,living together or not married,35 thru 44,college graduate,professional/managerial,more than ten years,not married,two,none,own,house,white,english
1,male,living together or not married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,four,one,own,house,white,english
1,male,married,45 thru 54,college graduate,professional/managerial,more than ten years,no,two,none,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,two,none,own,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,clerical/service worker,seven to ten years,yes,two,none,own,house,white,english
1,female,single or never married,18 thru 24,college graduate,professional/managerial,more than ten years,not married,four,none,live with parents/family,house,white,english
1,female,married,35 thru 44,graduated high school,clerical/service worker,four to six years,yes,three,none,own,other,white,english
1,female,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english
1,female,widowed,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,house,white,english
1,female,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english
1,male,married,45 thru 54,college graduate,professional/managerial,more than ten years,yes,three,one,own,house,white,english
1,male,single or never married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,more than ten years,not married,five,none,live with parents/family,house,white,english
1,male,married,35 thru 44,college graduate,professional/managerial,more than ten years,yes,three,none,own,house,white,english
1,female,single or never married,18 thru 24,graduated high school,sales worker,more than ten years,not married,four,one,live with parents/family,house,white,english
1,female,living together or not married,25 thru 34,grad study,professional/managerial,less than one year,not married,two,none,rent,apartment,white,english
1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,more than ten years,yes,three,none,own,other,white,english
1,male,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,four,two,own,house,white,english
1,male,married,25 thru 34,grad study,professional/managerial,seven to ten years,no,three,one,own,house,white,english
1,male,single or never married,25 thru 34,college graduate,professional/managerial,four to six years,not married,seven,two,rent,house,asian,english
1,male,married,45 thru 54,college graduate,retired,more than ten years,no,three,none,own,house,white,english
1,female,married,45 thru 54,1 to 3 years of college,professional/managerial,four to six years,yes,two,none,own,condominium,white,english
1,male,married,45 thru 54,college graduate,sales worker,four to six years,yes,two,none,own,condominium,white,english
1,male,married,45 thru 54,1 to 3 years of college,professional/managerial,more than ten years,no,four,none,own,house,white,english
0,female,single or never married,25 thru 34,1 to 3 years of college,clerical/service worker,more than ten years,not married,one,none,rent,apartment,white,english
1,female,single or never married,25 thru 34,grad study,professional/managerial,four to six years,not married,three,none,rent,house,white,english
1,female,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,house,white,english
0,female,single or never married,18 thru 24,1 to 3 years of college,unemployed,more than ten years,not married,four,one,live with parents/family,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,mobile home,white,english
1,female,married,25 thru 34,graduated high school,homemaker,more than ten years,no,four,two,rent,condominium,white,english
1,male,single or never married,18 thru 24,grades 9 to 11,factory worker/laborer/driver,more than ten years,not married,two,none,rent,apartment,white,english
1,female,living together or not married,18 thru 24,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,none,rent,apartment,white,english
1,male,married,25 thru 34,college graduate,sales worker,one to three years,yes,two,none,own,condominium,white,english
1,male,married,45 thru 54,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,three,none,live with parents/family,condominium,hispanic,english
0,female,divorced or separated,45 thru 54,grade 8 or less,factory worker/laborer/driver,more than ten years,not married,three,none,own,condominium,hispanic,english
1,male,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,one to three years,not married,one,none,rent,house,white,english
1,male,single or never married,25 thru 34,grad study,professional/managerial,one to three years,not married,one,none,rent,apartment,white,english
1,female,single or never married,18 thru 24,college graduate,unemployed,more than ten years,not married,five,two,live with parents/family,house,white,english
1,female,married,25 thru 34,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english
0,male,single or never married,18 thru 24,college graduate,professional/managerial,more than ten years,not married,one,none,rent,apartment,white,english
1,female,single or never married,25 thru 34,college graduate,professional/managerial,more than ten years,not married,one,none,rent,apartment,white,english
1,female,married,25 thru 34,graduated high school,clerical/service worker,more than ten years,yes,two,none,rent,apartment,white,english
1,male,married,65 and over,1 to 3 years of college,retired,seven to ten years,no,two,none,own,house,white,english
1,female,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,three,none,own,house,white,english
1,male,married,25 thru 34,college graduate,clerical/service worker,four to six years,yes,two,none,rent,apartment,white,english
0,male,living together or not married,45 thru 54,1 to 3 years of college,homemaker,more than ten years,no,four,none,own,house,white,english
1,male,married,35 thru 44,1 to 3 years of college,professional/managerial,four to six years,yes,two,none,own,condominium,white,english
1,female,single or never married,25 thru 34,1 to 3 years of college,sales worker,more than ten years,not married,one,none,rent,apartment,white,english
1,male,living together or not married,25 thru 34,college graduate,professional/managerial,four to six years,yes,two,none,rent,apartment,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,five,none,rent,other,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,one to three years,not married,four,none,live with parents/family,house,white,english
1,male,single or never married,18 thru 24,1 to 3 years of college,student or hs or college,more than ten years,not married,one,none,rent,apartment,hispanic,english
0,female,single or never married,18 thru 24,1 to 3 years of college,sales worker,more than ten years,not married,two,two,own,house,white,english
1,female,single or never married,18 thru 24,college graduate,professional/managerial,more than ten years,not married,one,none,rent,house,white,english
1,female,single or never married,35 thru 44,college graduate,professional/managerial,more than ten years,not married,two,none,own,house,white,english
1,male,married,25 thru 34,grad study,professional/managerial,more than ten years,no,three,one,own,house,white,english
1,female,married,35 thru 44,1 to 3 years of college,homemaker,more than ten years,no,three,one,own,house,white,english
1,female,single or never married,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,not married,two,one,rent,apartment,white,english
1,male,married,65 and over,college graduate,retired,more than ten years,no,two,none,own,house,white,english
1,female,married,25 thru 34,grad study,homemaker,seven to ten years,no,four,two,own,house,white,english
